bird_name,item_taxon,diet_percentage
American Wigeon,Ulvales [sea lettuces and allies],0.29
American Wigeon,Unid. Animalia,4.25
American Wigeon,Unid. Arthropoda,0.65
American Wigeon,Unid. Bryophyta,0.4
American Wigeon,Unid. Gastropoda,0.08
American Wigeon,Unid. Insecta,0.02
American Wigeon,Unid. Magnoliopsida,0.71
American Wigeon,Unid. Nematoda,0.5
American Wigeon,Unid. Plantae,2.99
American Wigeon,Unid. Tracheophyta,33.03
Mallard,Alismatales [water plantains and allies],6.92
Mallard,Amphipoda [amphipods],0.36
Mallard,"Asterales [asters, bellflowers, fanflowers, and allies]",0.06
Mallard,Basommatophora,2.05
Mallard,"Caryophyllales [pinks, cactuses, and allies]",0.28
Mallard,Ceratophyllales [coontails],0.47
Mallard,Charales,0.04
Mallard,Coleoptera [beetles],0.34
Mallard,Coleoptera larva [beetles],0.11
Mallard,Diptera larva [flies],0.78
Mallard,Ephemeroptera [mayflies],0.06
Mallard,"Fagales [beeches, oaks, walnuts, and allies]",6.16
Mallard,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.22
Mallard,Isopoda [isopods],0.22
Mallard,"Lamiales [mints, plantains, olives, and allies]",0.24
Mallard,"Nymphaeales [water-lilies, fanworts, and allies]",0.08
Mallard,Odonata [dragonflies and damselflies],0.07
Mallard,Odonata larva [dragonflies and damselflies],0.39
Mallard,"Poales [grasses, sedges, and allies]",24.31
Mallard,"Saxifragales [saxifrages, stonecrops, and allies]",1.09
Mallard,Trichoptera [caddisflies],1.11
Mallard,Trichoptera larva [caddisflies],0.34
Mallard,Unid. Animalia,4.42
Mallard,Unid. Annelida,4.73
Mallard,Unid. Arthropoda,3.42
Mallard,Unid. Bivalvia,0.01
Mallard,Unid. Gastropoda,1.93
Mallard,Unid. Insecta,4.72
Mallard,Unid. Magnoliopsida,2.69
Mallard,Unid. Mollusca,1.11
Mallard,Unid. Ostracoda,0.07
Mallard,Unid. Tracheophyta,31.21
Blue-winged Teal,Alismatales [water plantains and allies],1.1
Blue-winged Teal,Amphipoda [amphipods],0.57
Blue-winged Teal,Anostraca [fairy shrimp],0.29
Blue-winged Teal,Basommatophora,4.97
Blue-winged Teal,"Caryophyllales [pinks, cactuses, and allies]",0.73
Blue-winged Teal,Charales,8.96
Blue-winged Teal,Coleoptera [beetles],0.86
Blue-winged Teal,Diplostraca [clam shrimps and water fleas],1.57
Blue-winged Teal,Diptera [flies],4.38
Blue-winged Teal,Diptera nymph [flies],4.18
Blue-winged Teal,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.23
Blue-winged Teal,Odonata [dragonflies and damselflies],0.68
Blue-winged Teal,"Poales [grasses, sedges, and allies]",13.64
Blue-winged Teal,Trichoptera [caddisflies],1.13
Blue-winged Teal,Unid. Animalia,11.55
Blue-winged Teal,Unid. Annelida,0.2
Blue-winged Teal,Unid. Arthropoda,1.37
Blue-winged Teal,Unid. Bivalvia,0.03
Blue-winged Teal,Unid. Gastropoda,5.57
Blue-winged Teal,Unid. Insecta,2.02
Blue-winged Teal,Unid. Insecta larva,0.91
Blue-winged Teal,Unid. Magnoliopsida,7.18
Blue-winged Teal,Unid. Maxillopoda,0.29
Blue-winged Teal,Unid. Ostracoda,0.38
Blue-winged Teal,Unid. Phylactolaemata,0.46
Blue-winged Teal,Unid. Tracheophyta,26.1
Blue-winged Teal,Veneroida,0.64
Cinnamon Teal,Amphipoda [amphipods],0.1
Cinnamon Teal,Basommatophora,1.65
Cinnamon Teal,"Caryophyllales [pinks, cactuses, and allies]",0.28
Cinnamon Teal,Coleoptera [beetles],0.5
Cinnamon Teal,Coleoptera larva [beetles],0.83
Cinnamon Teal,Diplostraca [clam shrimps and water fleas],2.18
Cinnamon Teal,Diptera [flies],12.7
Cinnamon Teal,Diptera larva [flies],3.24
Cinnamon Teal,Ephemeroptera [mayflies],0.45
Cinnamon Teal,"Hemiptera [true bugs, hoppers, aphids, and allies]",1.64
Cinnamon Teal,Odonata [dragonflies and damselflies],0.16
Cinnamon Teal,"Poales [grasses, sedges, and allies]",12.79
Cinnamon Teal,Trichoptera [caddisflies],0.03
Cinnamon Teal,Unid. Animalia,9.9
Cinnamon Teal,Unid. Arthropoda,0.21
Cinnamon Teal,Unid. Euchelicerata,0.04
Cinnamon Teal,Unid. Gastropoda,1.49
Cinnamon Teal,Unid. Insecta,0.53
Cinnamon Teal,Unid. Magnoliopsida,9.02
Cinnamon Teal,Unid. Ostracoda,0.07
Cinnamon Teal,Unid. Tracheophyta,42.2
Northern Shoveler,Alismatales [water plantains and allies],2.49
Northern Shoveler,Amphipoda [amphipods],0.23
Northern Shoveler,Ceratophyllales [coontails],2.15
Northern Shoveler,Charales,2.83
Northern Shoveler,Coleoptera [beetles],0.11
Northern Shoveler,Diplostraca [clam shrimps and water fleas],12.15
Northern Shoveler,Diptera [flies],1.57
Northern Shoveler,Ephemeroptera [mayflies],0.11
Northern Shoveler,"Fabales [legumes, milkworts, and allies]",0.34
Northern Shoveler,Foraminiferida,1.81
Northern Shoveler,"Hemiptera [true bugs, hoppers, aphids, and allies]",6.46
Northern Shoveler,Odonata [dragonflies and damselflies],0.23
Northern Shoveler,"Poales [grasses, sedges, and allies]",1.02
Northern Shoveler,Unid. Animalia,19.22
Northern Shoveler,Unid. Chordata,0.79
Northern Shoveler,Unid. Gastropoda,16.89
Northern Shoveler,Unid. Magnoliopsida,0.45
Northern Shoveler,Unid. Maxillopoda,1.7
Northern Shoveler,Unid. Nematoda,0.11
Northern Shoveler,Unid. Ostracoda,2.83
Northern Shoveler,Unid. Plantae,0.57
Northern Shoveler,Unid. Tracheophyta,25.9
Northern Pintail,Alismatales [water plantains and allies],3.51
Northern Pintail,Amphipoda [amphipods],0.5
Northern Pintail,"Caryophyllales [pinks, cactuses, and allies]",0.23
Northern Pintail,Commelinales [spiderworts and allies],0.35
Northern Pintail,Diptera [flies],3.68
Northern Pintail,"Fabales [legumes, milkworts, and allies]",0.09
Northern Pintail,"Lamiales [mints, plantains, olives, and allies]",0.55
Northern Pintail,"Myrtales [myrtles, evening primroses, and allies]",0.25
Northern Pintail,"Poales [grasses, sedges, and allies]",31.42
Northern Pintail,Trichoptera [caddisflies],0.1
Northern Pintail,Unid. Animalia,11.2
Northern Pintail,Unid. Bivalvia,2.15
Northern Pintail,Unid. Gastropoda,1.07
Northern Pintail,Unid. Magnoliopsida,9.28
Northern Pintail,Unid. Tracheophyta,35.48
Northern Pintail,"Zingiberales [gingers, bananas, and allies]",0.11
Green-winged Teal,Alismatales [water plantains and allies],3.31
Green-winged Teal,Amphipoda [amphipods],1.09
Green-winged Teal,"Caryophyllales [pinks, cactuses, and allies]",7.5
Green-winged Teal,Charales,0.42
Green-winged Teal,Diplostraca [clam shrimps and water fleas],0.18
Green-winged Teal,Diptera [flies],2.82
Green-winged Teal,"Ericales [heathers, balsams, primroses, and allies]",0.15
Green-winged Teal,Isopoda [isopods],0.36
Green-winged Teal,"Lamiales [mints, plantains, olives, and allies]",0.72
Green-winged Teal,"Myrtales [myrtles, evening primroses, and allies]",0.54
Green-winged Teal,Odonata [dragonflies and damselflies],0.09
Green-winged Teal,"Poales [grasses, sedges, and allies]",25.63
Green-winged Teal,Unid. Animalia,4.37
Green-winged Teal,Unid. Annelida,0.28
Green-winged Teal,Unid. Arthropoda,0.08
Green-winged Teal,Unid. Bivalvia,0.52
Green-winged Teal,Unid. Gastropoda,1.65
Green-winged Teal,Unid. Insecta,0.44
Green-winged Teal,Unid. Magnoliopsida,5.02
Green-winged Teal,Unid. Malacostraca,4.0
Green-winged Teal,Unid. Mollusca,0.33
Green-winged Teal,Unid. Ostracoda,1.3
Green-winged Teal,Unid. Plantae,3.59
Green-winged Teal,Unid. Tracheophyta,35.57
Canvasback,Alismatales [water plantains and allies],27.31
Canvasback,Amphipoda [amphipods],0.07
Canvasback,Charales,0.01
Canvasback,Coleoptera [beetles],0.01
Canvasback,Diptera [flies],2.2
Canvasback,Diptera larva [flies],0.52
Canvasback,Ephemeroptera [mayflies],0.01
Canvasback,Ephemeroptera nymph [mayflies],0.31
Canvasback,Lepidoptera larva [caterpillars],0.09
Canvasback,Myoida,0.2
Canvasback,Mytiloida,0.07
Canvasback,Odonata [dragonflies and damselflies],0.24
Canvasback,Odonata nymph [dragonflies and damselflies],1.07
Canvasback,Phyllodocida,0.07
